name_part1,material,name_part2,name_fluid1,technique,direction,material_group,name_mold_mat,name_disp_1,wf_disp_1,name_bind1,wf_bind_1,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,873.0,0.15,0.66
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,5.0,,2.0,1563.0,0.15,0.6
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,973.0,0.15,0.57
HAP,HAP,MgO,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.15,0.55
HAP,HAP,PMMA,water,,,Ceramic,silicone,,,PVA,0.02,255.0,0.0,8.0,2.0,873.0,0.2406,0.5628
HAP,HAP,,TBA,,,Ceramic,polyethylene,citric acid,0.01,,,,0.0,,1.0,873.0,0.0734,0.67
HAP,HAP,,water,,,Ceramic,PVC,,,,,253.0,0.0,,3.0,1673.0,0.2,0.52
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,873.0,0.15,0.64
HAP,HAP,PMMA,water,,,Ceramic,silicone,,,PVA,0.02,255.0,0.0,8.0,2.0,873.0,0.2406,0.6264
HAP,HAP,,TBA,,,Ceramic,polyethylene,citric acid,0.01,,,,0.0,,1.0,873.0,0.1196,0.681
HAP,HAP,PMMA,water,,,Ceramic,silicone,,,PVA,0.02,255.0,0.0,8.0,2.0,873.0,0.2406,0.6569
HAP,HAP,,water,,,Ceramic,PVC,,,,,253.0,0.0,,3.0,1623.0,0.2,0.518
HAP,HAP,,water,,,Ceramic,PVC,Dynol 604,0.0075,PVA,0.015,253.0,0.0,,3.0,1623.0,0.1,0.65
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,973.0,0.15,0.76
HAP,HAP,,water,,,Ceramic,polyethylene,sodium polyacrylate,0.01,PVA,0.005,243.0,0.0,0.0,3.0,1623.0,0.2,0.55
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,72.0,2.0,973.0,0.15,0.76
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,873.0,0.15,0.6
HAP,HAP,,water,,,Ceramic,PVC,,,,,253.0,0.0,,3.0,1623.0,0.2,0.528
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,11.0,,2.0,1563.0,0.15,0.6
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,2.0,,2.0,1563.0,0.15,0.78
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,14.0,,2.0,1563.0,0.15,0.6
