name_part1,material,name_part2,name_fluid1,technique,direction,material_group,name_mold_mat,name_disp_1,wf_disp_1,name_bind1,wf_bind_1,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
SiO2,Kaolinite/SiO2,kaolinite,water,,,Ceramic,rubber,,,,,238.0,0.0,,24.0,1523.0,0.12,0.55
HAP,HAP,,water,one-sided,vertical-up,Ceramic,PVC,Dispex A40,0.02,PVA,0.03,,,24.0,4.0,1573.0,0.2459,0.3
Al2O3,Al2O3,,water,,,Ceramic,,Darvan 811,0.03,,,228.0,0.0,24.0,5.0,1873.0,0.23,0.639
TCP,TCP,,water,,,Ceramic,PTFE,polyacrylic acid,0.01,PVA,0.01,,0.0,48.0,,673.0,0.1,0.818
PVA,PVA,,water,immersion,vertical-up,Polymer,polyproplyene,,,,,77.0,0.0,,,,0.0657,0.82
PZT,PZT,,TBA,,,Ceramic,,acacia,0.012,PVB,0.015,243.0,0.0,48.0,2.0,1673.0,0.4,0.28
Al2O3,Al2O3,,water,,,Ceramic,PDMS,HydroDisper A160,,PVA,0.06,,0.0,36.0,3.0,1123.0,0.1,0.75
SiO2,SiO2,,TBA,,,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.19,0.58
SiO2,YSZ,,water,bridgman,horizontal,Ceramic,silicone,,,PVA,0.02,253.0,0.0,24.0,2.0,873.0,0.3297,0.5
Al2O3,Al2O3,,water,,,Ceramic,PDMS,HydroDisper A160,,PVA,0.01,,0.0,36.0,3.0,1123.0,0.3,0.6
Si3N4,Si3N4,Y2O3,water,,,Ceramic,fluorocarbon,NOI,,,,193.0,0.0,24.0,2.0,1973.0,0.2,0.665
Yb2SiO5,Yb2SiO5,,TBA,,,Ceramic,,ammonium polymethacrylate anionic dispersant,0.03,PVA,0.01,,0.0,0.0,2.0,823.0,0.15,0.8465
WO3,W,,water,,,Metal,Teflon,,,,,255.5,0.0,,,1023.0,0.15,0.636
Mullite,Mullite,,TBA,radial,radial-in,Ceramic,PTFE,BYK-163,0.05,PVB,0.005,173.0,0.0,12.0,2.0,1823.0,0.2,0.76
Ca3ZrSi2O9,Ca3ZrSi2O9,,water,,,Ceramic,polyethylene,Dolapix P62,0.03,PVA,0.05,,4.0,,1.0,873.0,0.2,0.5822
HAP,HAP,,water,,,Ceramic,PDMS,HydroDisper A160,0.01,PVA,0.03,,0.0,24.0,3.0,873.0,0.2,0.71
Al2O3,Al2O3,,water,one-sided,vertical-up,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.79
Y2O3,Y2SiO5,SiO2,TBA,,,Ceramic,polyethylene,citric acid,0.01,,,,0.0,12.0,1.0,1023.0,0.0788,0.66
SiO2,YSZ,,water,,,Ceramic,silicone,,,PVA,0.02,255.0,0.0,24.0,2.0,873.0,0.3297,0.5
TiO2,TiO2,,camphene,,,Ceramic,,Texaphor 963,0.6,,,,0.0,,,,0.05,0.93
SiO2,Silicate,,TBA,,,Ceramic,,ethyl cellulose ethoecel,0.005,PVP,0.005,,0.0,72.0,,,0.2,0.68
