name_part1,name_part2,name_fluid1,material_group,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
HAP,,water,Ceramic,,,24.0,4.0,1573.0,0.2459,0.6
gelatin,,acetic acid,Polymer,77.0,0.0,48.0,,,0.0155,0.97
HAP,,water,Ceramic/Polymer,,0.0,48.0,4.0,1573.0,0.2,0.16
LSCF,GCO,water,Ceramic,193.0,0.0,,5.0,1623.0,0.27,0.431
Al2O3,,water,Ceramic,238.0,0.0,,5.0,1923.0,0.45,0.32
Yb2SiO5,,TBA,Ceramic,,0.0,0.0,2.0,673.0,0.15,0.852
YSZ,,water,Ceramic,,0.0,,,,0.0122,0.9
Bioglass,,camphene,Ceramic,,0.0,,3.0,1523.0,0.0847,0.69
SiO2,,water,Ceramic,,0.0,,,,0.1392,0.4
YSZ,,TBA,Ceramic,,0.0,,2.0,1773.0,0.15,0.718
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.15,0.82
TCP,,water,Ceramic,77.0,0.0,24.0,0.5,873.0,0.02,0.54
SiO2,kaolinite,water,Ceramic,238.0,0.0,,24.0,1523.0,0.12,0.55
HAP,,water,Ceramic,,,24.0,4.0,1573.0,0.2459,0.3
Al2O3,,water,Ceramic,228.0,0.0,24.0,5.0,1873.0,0.23,0.639
TCP,,water,Ceramic,,0.0,48.0,,673.0,0.1,0.818
PVA,,water,Polymer,77.0,0.0,,,,0.0657,0.82
PZT,,TBA,Ceramic,243.0,0.0,48.0,2.0,1673.0,0.4,0.28
Al2O3,,water,Ceramic,,0.0,36.0,3.0,1123.0,0.1,0.75
SiO2,,TBA,Ceramic,,0.0,12.0,1.0,873.0,0.19,0.58
SiO2,,water,Ceramic,253.0,0.0,24.0,2.0,873.0,0.3297,0.5
Al2O3,,water,Ceramic,,0.0,36.0,3.0,1123.0,0.3,0.6
Si3N4,Y2O3,water,Ceramic,193.0,0.0,24.0,2.0,1973.0,0.2,0.665
Yb2SiO5,,TBA,Ceramic,,0.0,0.0,2.0,823.0,0.15,0.8465
WO3,,water,Metal,255.5,0.0,,,1023.0,0.15,0.636
Mullite,,TBA,Ceramic,173.0,0.0,12.0,2.0,1823.0,0.2,0.76
Ca3ZrSi2O9,,water,Ceramic,,4.0,,1.0,873.0,0.2,0.5822
HAP,,water,Ceramic,,0.0,24.0,3.0,873.0,0.2,0.71
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.15,0.79
Y2O3,SiO2,TBA,Ceramic,,0.0,12.0,1.0,1023.0,0.0788,0.66
SiO2,,water,Ceramic,255.0,0.0,24.0,2.0,873.0,0.3297,0.5
TiO2,,camphene,Ceramic,,0.0,,,,0.05,0.93
SiO2,,TBA,Ceramic,,0.0,72.0,,,0.2,0.68
HAP,,TBA,Ceramic,,0.0,,1.0,1673.0,0.075,0.86
HAP,,TBA,Ceramic,,0.0,,1.0,1673.0,0.15,0.66
HAP,SiO2,water,Ceramic,,1.0,,24.0,873.0,0.15,0.8519
YSZ,,water,Ceramic,,2.0,48.0,5.0,773.0,0.2,0.642
PVA,,water,Ceramic/Polymer,233.0,0.0,5.0,,,0.07,0.9
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.15,0.65
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1723.0,0.2,0.7
Fe2O3,,water,Metal,243.0,,48.0,2.0,573.0,0.141,0.504
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.1,0.68
SiC,,water,Ceramic,203.0,,,1.0,2023.0,0.3,0.6341
PCS,,water,Polymer,77.0,0.0,24.0,,,0.32,0.662
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.35,0.66
Ti,,camphene,Metal,,0.0,,2.0,1773.0,0.3,0.13
Al2O3,,camphene,Ceramic,248.0,0.0,,2.0,8873.0,0.2,0.75
Bioglass,,camphene,Ceramic,,2.0,24.0,1.0,1673.0,0.1,0.86
Al2O3,,TBA,Ceramic,,0.0,72.0,2.0,873.0,0.25,0.3
SiO2,,water,Ceramic,238.0,2.0,0.0,,,0.1628,0.82
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1623.0,0.1,0.41
YSZ,,water,Ceramic,253.0,0.0,24.0,2.0,873.0,0.3297,0.5
HAP,PMMA,water,Ceramic,255.0,0.0,8.0,2.0,873.0,0.2406,0.6264
Al2O3,,water,Metal/Ceramic,,1.0,48.0,2.5,2053.0,0.336,0.109
TCP,,water,Ceramic,,0.0,48.0,,673.0,0.2,0.665
stainless steel,,water,Ceramic,233.0,0.0,0.0,2.0,1773.0,0.56,0.21
Mullite,,TBA,Ceramic,,0.0,0.0,2.0,1773.0,0.0659,0.77
SiC,,water,Ceramic,,0.0,5.0,1.0,873.0,0.12,0.705
YSZ,,water,Ceramic,253.0,0.0,24.0,2.0,873.0,0.3297,0.5
SiC,,water,Ceramic,,0.0,5.0,1.0,873.0,0.12,0.65
SiO2,kaolinite,water,Ceramic,238.0,0.0,,12.0,1523.0,0.12,0.6
Y2SiO5,,water,Ceramic,,0.0,48.0,2.0,1773.0,0.4,0.8
SiO2,,TBA,Ceramic,193.0,0.0,72.0,,,0.3614,0.7
Al2O3,,Glycerine Ether,Ceramic,253.0,0.0,,3.0,1873.0,0.2,0.7
Mullite,,TBA,Ceramic,173.0,0.0,12.0,2.0,1823.0,0.3,0.66
YSZ,,TBA,Ceramic,,0.0,12.0,1.0,873.0,0.08,0.55
Al2O3,CuO,water,Ceramic,253.0,0.0,48.0,1.0,873.0,0.3,0.54
YSZ,,TBA,Ceramic,77.0,0.0,0.0,,873.0,0.15,0.755
polysiloxane,,cyclohexane,Polymer,238.0,,48.0,4.0,1373.0,0.2,0.771
TiO2,,water,Ceramic,,10.0,72.0,3.0,1273.0,0.1,0.848
Mullite,,TBA,Ceramic,,0.0,12.0,2.0,1973.0,0.3,0.56
Mullite,,TBA,Ceramic,253.0,0.0,12.0,2.0,1973.0,0.4,0.55
YSZ,,water,Ceramic,,0.0,,0.5,773.0,0.5,0.41
Al2O3,TiO2,camphene,Ceramic,,0.0,72.0,2.0,1573.0,0.25,0.73
SiO2,Mullite,water,Ceramic,223.0,0.0,12.0,3.0,1673.0,0.17,0.15
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1598.0,0.15,0.379
HAP,BT,water,Ceramic,,0.0,36.0,3.0,1373.0,0.2,0.59
Al2O3,,water,Ceramic,83.0,0.0,24.0,3.0,1173.0,0.2,0.7
Bioglass,,camphene,Ceramic,,0.0,24.0,1.0,1673.0,0.1,0.37
HAP,,camphene,Ceramic,296.0,0.0,20.0,1.0,1493.0,0.1,0.72
HAP,,water,Ceramic,,0.0,0.0,1.0,873.0,0.13,0.5849
SiO2,,water,Ceramic,193.0,0.0,12.0,2.0,1573.0,0.1,0.89
TiH2,,camphene,Metal,306.0,0.0,,2.0,873.0,0.15,0.63
Mullite,,TBA,Ceramic,,0.0,12.0,2.0,2023.0,0.4,0.54
Al2O3,,water,Ceramic,,0.0,,2.0,1563.0,0.3,0.65
Y2SiO5,,TBA,Ceramic,,0.0,,1.0,1473.0,0.1,0.73
HAP,,water,Ceramic,,8.0,,2.0,873.0,0.15,0.77
NiTiNbO,,water,Metal/Ceramic,203.0,0.0,96.0,0.5,873.0,0.35,0.5621
TiO2,,water,Ceramic,,0.0,24.0,2.0,1573.0,0.3527,0.36
Al2O3,,water,Ceramic,238.0,0.0,,5.0,1923.0,0.45,0.28
SiO2,,water,Ceramic,223.0,0.0,12.0,3.0,1673.0,0.04,0.6
YSZ,,TBA,Ceramic,,0.0,,2.0,1773.0,0.1,0.742
YSZ,Al2O3,water,Ceramic,,0.0,24.0,,773.0,0.22,0.51
WO3,,water,Metal,258.0,0.0,,8.0,1023.0,0.2,0.483
YSZ,,TBA,Ceramic,,0.0,,,,0.5,0.65
chitosan,HAP,water,Polymer,,0.0,0.0,,,0.09,0.338
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.35,0.53
HAP,,water,Ceramic/Polymer,263.0,0.0,,2.0,1773.0,0.15,0.65
CuO,,water,Metal,257.0,0.0,,2.0,1563.0,0.15,0.8
Al2O3,,camphene,Ceramic,253.0,,,12.0,316.0,0.15,0.77
Mullite,,camphene,Ceramic,,0.0,24.0,1.0,773.0,0.1131,0.68
SiC,,water,Ceramic,,0.0,5.0,1.0,873.0,0.12,0.745
Bioglass,,camphene,Ceramic,,0.0,24.0,1.0,1673.0,0.1,0.59
SiC,chitosan,acetic acid,Ceramic,,15.0,24.0,1.0,873.0,0.07,0.92
Yb2SiO5,,water,Ceramic,77.0,0.0,48.0,2.0,823.0,0.15,0.839
Al2O3,,water,Ceramic,,1.0,,2.0,1873.0,0.3,0.771
Si3N4,,benzoic acid,Ceramic,,0.0,5.0,4.0,2023.0,0.16,0.62
Bioglass,,water,Ceramic,,0.0,24.0,1.5,2073.0,0.05,0.8623
Al2O3,,water,Ceramic,243.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,CuO,water,Ceramic,253.0,0.0,48.0,1.0,873.0,0.3,0.4
Al2O3,,water,Ceramic,253.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,,camphene,Ceramic,253.0,0.0,24.0,1.0,873.0,0.1,0.75
BaTiO3,Al2O3,water,Ceramic,,0.0,,2.0,1673.0,0.2,0.411
