name_part1,name_part2,name_fluid1,material_group,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
Yb2SiO5,,TBA,Ceramic,,0.0,0.0,2.0,873.0,0.15,0.8395
HAP,Al2O3,water,Ceramic,,4.0,,24.0,873.0,0.15,0.7906
Bioglass,,camphene,Ceramic,,0.0,,1.0,1723.0,0.1,0.5
Al2O3,CuO,water,Ceramic,253.0,0.0,48.0,1.0,873.0,0.3,0.53
Al2O3,,water,Ceramic,,0.0,36.0,3.0,1123.0,0.3,0.43
PZT,,camphene,Ceramic,293.0,0.0,48.0,2.0,1573.0,0.15,0.71
HAP,,water,Ceramic,255.0,0.0,24.0,2.0,873.0,0.2406,0.623
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.35,0.6
HAP,,water,Ceramic,,14.0,,2.0,1563.0,0.15,0.6
CaSiO3,PCS,water,Ceramic,243.0,0.0,,3.0,1623.0,0.2,0.73
YSZ,,TBA,Ceramic,,0.0,,0.5,773.0,0.4,0.1
YSZ,,camphene,Ceramic,,0.0,,1.0,973.0,0.1,0.815
Y2O3,SiO2,TBA,Ceramic,,0.0,12.0,1.0,973.0,0.0475,0.57
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1723.0,0.35,0.44
Al2O3,,camphene,Ceramic,248.0,0.0,,2.0,8873.0,0.2,0.7
Al2O3,,water,Ceramic,,0.0,36.0,3.0,1123.0,0.2,0.6
YSZ,,camphene,Ceramic,,0.0,24.0,2.0,1823.0,0.15,0.75
Al2O3,,water,Ceramic,203.0,0.0,,2.0,873.0,0.2,0.91
Al2O3,TiO2,camphene,Ceramic,,0.0,72.0,2.0,1573.0,0.25,0.74
gelatin,,water,Polymer,,6.0,72.0,,,0.0075,0.99
Cr2O3,,camphene,Ceramic,288.0,0.0,24.0,15.0,1373.0,0.1,0.869
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1723.0,0.25,0.57
HAP,SiO2,water,Ceramic,,1.0,,24.0,873.0,0.15,0.8443
Ca3ZrSi2O9,,water,Ceramic,,1.0,,1.0,873.0,0.125,0.6427
TiO2,,water,Ceramic,,0.0,24.0,2.0,1573.0,0.2594,0.45
HAP,TCP,water,Ceramic,243.0,0.0,168.0,,,0.1091,0.72
Al2O3,TiO2,camphene,Ceramic,,0.0,72.0,2.0,1573.0,0.25,0.7
HAP,,TBA,Ceramic,,0.0,,1.0,873.0,0.1196,0.681
chitosan,,water,Polymer,,1.0,48.0,,,0.0125,0.9836
chitosan,TCP,water,Ceramic/Polymer,253.0,0.0,6.0,,,0.1468,0.83
Mullite,,TBA,Ceramic,,0.0,0.0,2.0,1773.0,0.1079,0.64
Si3N4,Y2O3,water,Ceramic,193.0,0.0,24.0,,2048.0,0.3,0.499
Al2O3,,water,Ceramic,,0.0,,2.0,2073.0,0.1,0.717
Bentonite,,water,Ceramic,249.0,0.0,24.0,1.0,873.0,0.0235,0.97
PZT,,TBA,Ceramic,243.0,0.0,48.0,2.0,1723.0,0.4,0.28
Al2O3,,camphene,Ceramic,248.0,0.0,,2.0,2223.0,0.2,0.79
Al2O3,,water,Ceramic,,0.0,24.0,2.0,1873.0,0.1,0.735
Si3N4,Al2O3,TBA,Ceramic,,0.0,24.0,3.0,573.0,0.1623,0.48
Al2O3,,camphene,Ceramic,268.0,0.0,24.0,5.0,1873.0,0.22,0.609
HAP,,water,Ceramic,,1.0,48.0,2.0,1773.0,0.15,0.5331
Al2O3,,camphene,Ceramic,291.0,0.0,24.0,4.0,1873.0,0.3,0.41
TiO2,,water,Ceramic,,10.0,72.0,3.0,1573.0,0.1,0.87
Al2O3,Mullite,water,Ceramic,,0.0,48.0,2.0,873.0,0.47,0.73
BaTiO3,,water,Ceramic,,0.0,,2.0,1773.0,0.45,0.22
HAP,TCP,camphene,Ceramic,,0.0,,3.0,1573.0,0.22,0.25
HAP,,water,Ceramic,243.0,,,1.0,1473.0,0.3,0.56
SiC,,water,Ceramic,,0.0,5.0,1.0,873.0,0.12,0.78
Al2O3,,camphene,Ceramic,248.0,0.0,,2.0,2073.0,0.2,0.8
Al2O3,YSZ,water,Ceramic,253.0,0.0,48.0,30.0,773.0,0.3,0.53
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.05,0.845
Al2O3,,water,Ceramic,218.0,0.0,36.0,2.0,873.0,0.235,0.683
Cordierite,,water,Ceramic,223.0,0.0,24.0,2.0,1473.0,0.1,0.86
HAP,,water,Ceramic,253.0,0.0,,3.0,1623.0,0.2,0.48
HAP,BaTiO3,water,Ceramic,,5.0,24.0,,873.0,0.4,0.4
YSZ,,camphene,Ceramic,,0.0,24.0,2.0,1823.0,0.1,0.82
SiO2,kaolinite,water,Ceramic,238.0,0.0,,72.0,1523.0,0.24,0.55
Al2O3,,water,Ceramic,,1.0,24.0,2.0,1823.0,0.35,0.354
Al2O3,,TBA,Ceramic,,0.0,24.0,1.0,1493.0,0.2,0.65
Al2O3,,water,Ceramic,223.0,0.0,24.0,,1673.0,0.333,0.494
Al2O3,,water,Ceramic,238.0,0.0,,5.0,1923.0,0.5,0.25
SiO2,,water,Ceramic,253.0,0.0,24.0,2.0,873.0,0.3297,0.5
Al2O3,ZrO2,TBA,Ceramic,77.0,0.0,,,1673.0,0.25,0.316
Y2O3,SiO2,TBA,Ceramic,,0.0,12.0,1.0,973.0,0.0475,0.63
HAP,,water,Ceramic,,10.0,,4.0,1573.0,0.25,0.56
LSM,YSZ,water,Ceramic,,21.0,12.0,1.0,873.0,0.17,0.65
LSM,YSZ,water,Ceramic,,5.0,12.0,1.0,873.0,0.23,0.596
Al2O3,TiO2,camphene,Ceramic,77.0,0.0,72.0,2.0,1773.0,0.25,0.27
Si3N4,Y2O3,water,Ceramic,75.0,0.0,,3.0,873.0,0.2252,0.15
YSZ,,water,Ceramic,255.0,0.0,24.0,2.0,873.0,0.3297,0.56
SiC,,water,Ceramic,,0.0,5.0,1.0,873.0,0.12,0.67
Mullite,,camphene,Ceramic,77.0,0.0,,,873.0,0.21,0.604
YSZ,,water,Ceramic,255.0,0.0,24.0,2.0,873.0,0.3297,0.5
kaolinite,Al2O3,water,Ceramic,203.0,0.0,24.0,2.0,1773.0,0.05,0.91
SiO2,,TBA,Ceramic,,0.0,12.0,1.0,873.0,0.1,0.663
Al2O3,,camphene,Ceramic,270.0,0.0,24.0,3.0,1723.0,0.1,0.83
HAP,,water,Ceramic,,5.0,,2.0,1563.0,0.15,0.78
Mullite,,TBA,Ceramic,213.0,0.0,12.0,2.0,1823.0,0.35,0.6
BaTiO3,,water,Ceramic,,0.0,,2.0,1773.0,0.3,0.37
Al2O3,YSZ,water,Ceramic,253.0,0.0,48.0,30.0,773.0,0.3,0.5
TiO2,,camphene,Ceramic,,0.0,,,,0.03,0.95
YSZ,,water,Ceramic,255.0,0.0,24.0,2.0,873.0,0.3297,0.54
Al2O3,,water,Ceramic,238.0,0.0,,5.0,1923.0,0.6,0.02
Zeo,,water,Ceramic,123.0,0.0,48.0,1.0,2073.0,0.1567,0.7566
PVA,collagen,water,Ceramic/Polymer,233.0,0.0,5.0,,,0.07,0.9
YSZ,,TBA,Ceramic,,0.0,,2.0,1873.0,0.15,0.564
CuO,,water,Metal,253.0,0.0,,2.0,1573.0,0.25,0.443
HAP,PMMA,water,Ceramic,255.0,0.0,8.0,2.0,873.0,0.2406,0.7374
HAP,,TBA,Ceramic,,0.0,,1.0,1673.0,0.05,0.9
Si3N4,Y2O3,water,Ceramic,75.0,0.0,,3.0,873.0,0.2252,0.35
Fe2O3,,water,Metal,258.0,,48.0,2.0,573.0,0.105,0.777
HAP,,water,Ceramic,253.0,0.0,,3.0,1623.0,0.2,0.518
Si3N4,Al2O3,TBA,Ceramic,,0.0,24.0,3.0,473.0,0.1623,0.65
Al2O3,,camphene,Ceramic,291.0,0.0,24.0,4.0,1873.0,0.4,0.22
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.25,0.72
WO3,,water,Metal,248.0,0.0,,,1023.0,0.3,0.435
Mullite,,camphene,Ceramic,,0.0,24.0,1.0,773.0,0.2293,0.52
HAP,,water,Ceramic,243.0,0.0,0.0,3.0,1623.0,0.2,0.45
Al2O3,,water,Ceramic,,0.0,36.0,3.0,1123.0,0.15,0.8
HAP,SiO2,water,Ceramic,,1.0,,24.0,873.0,0.15,0.82
PZT,,TBA,Ceramic,195.0,0.0,0.0,2.0,1723.0,0.15,0.7
AlN,AlN,water,Ceramic,233.0,0.0,,2.0,873.0,0.51,0.03
Al2O3,,Glycerine Ether,Ceramic,253.0,0.0,,3.0,1773.0,0.4,0.41
Al2O3,,TBA,Ceramic,,0.0,72.0,2.0,873.0,0.25,0.3
Al2O3,YSZ,water,Ceramic,253.0,0.0,48.0,30.0,773.0,0.3,0.52
Al2O3,chitosan,acetic acid,Ceramic,,1.0,,,,0.27,0.91
fireclay,,water,Ceramic,,0.0,24.0,1.0,873.0,0.2,0.7311
SiO2,Mullite,water,Ceramic,223.0,0.0,12.0,3.0,1673.0,0.04,0.7
Mullite,,TBA,Ceramic,,0.0,0.0,1.0,873.0,0.3488,0.68
Bioglass,,water,Ceramic,253.0,0.0,,,773.0,0.15,0.55
YSZ,,TBA,Ceramic,,0.0,12.0,1.0,873.0,0.06,0.43
ZrB2,SiC,water,Ceramic,233.0,0.0,0.0,0.5,723.0,0.76,0.482
Al2O3,ZrO2,TBA,Ceramic,77.0,0.0,,,1773.0,0.15,0.5
HAP,,water,Ceramic/Polymer,263.0,0.0,,2.0,1773.0,0.2,0.56
HAP,(Ca10(PO4)6(OH)2),TBA,Ceramic,,0.0,0.0,1.0,963.0,0.1,0.72
chitosan,HAP,water,Polymer,,0.0,0.0,,,0.09,0.458
SiO2,Al2O3,water,Ceramic,,0.0,,1.0,873.0,0.38,0.85
Mullite,,TBA,Ceramic,,0.0,0.0,1.0,873.0,0.3488,0.72
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.15,0.78
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1723.0,0.25,0.58
Al2O3,,water,Ceramic,238.0,0.0,,5.0,1923.0,0.55,0.14
WO3,,water,Metal,258.0,0.0,,,1023.0,0.3,0.328
YSZ,,TBA,Ceramic,243.0,,,1.0,1723.0,0.15,0.77
ZrB2,,water,Ceramic,233.0,0.0,0.0,0.5,723.0,0.11,0.489
PZT,,TBA,Ceramic,243.0,0.0,48.0,2.0,1723.0,0.2,0.62
chitosan,TCP,water,Ceramic/Polymer,253.0,0.0,6.0,,,0.1468,0.75
Al2O3,,water,Ceramic,,0.0,24.0,,1673.0,0.45,0.4
HAP,,TBA,Ceramic,,0.0,0.0,1.0,963.0,0.1,0.75
Si3N4,Y2O3,water,Ceramic,203.0,0.0,48.0,2.0,873.0,0.2,0.66
Si3N4,Y2O3,water,Ceramic,193.0,0.0,24.0,,2123.0,0.3,0.493
SiO2,,water,Ceramic,193.0,0.0,12.0,2.0,1523.0,0.05,0.94
HAP,,camphene,Ceramic,,0.0,0.0,3.0,1573.0,0.3,0.48
gelatin,,water,Polymer,,6.0,72.0,,,0.0038,0.948
HAP,,camphene,Ceramic,,0.0,0.0,3.0,1573.0,0.36,0.38
TiO2,,water,Ceramic,,10.0,72.0,3.0,1273.0,0.1,0.832
HAP,,water,Ceramic,,0.0,,,1573.0,0.37,0.42
TCP,,water,Ceramic,,0.0,60.0,,723.0,0.2,0.68
CaSiO3,PCS,water,Ceramic,243.0,0.0,,3.0,1623.0,0.15,0.79
Al2O3,CuO,water,Ceramic,253.0,0.0,48.0,1.0,873.0,0.3,0.44
HAP,,water,Ceramic,255.0,0.0,24.0,2.0,873.0,0.4251,0.204
Al2O3,,camphene,Ceramic,291.0,0.0,0.0,4.0,1873.0,0.454,0.1
TCP,,water,Ceramic,,0.0,0.0,1.0,873.0,0.24,0.54
HAP,,water,Ceramic,,11.0,,2.0,1563.0,0.15,0.6
WO3,,water,Metal,248.0,0.0,,,1023.0,0.225,0.517
YSZ,,water,Metal/Ceramic,,1.0,48.0,,873.0,0.36,0.184
Al2O3,,water,Ceramic,203.0,0.0,,2.0,823.0,0.25,0.78
Mullite,,TBA,Ceramic,173.0,0.0,12.0,2.0,1823.0,0.35,0.6
SiC,,water,Ceramic,,0.0,,,,0.47,0.044
chitosan,,water,Polymer,,1.0,48.0,,,0.03,0.966
HAP,TCP,water,Ceramic,77.0,0.0,24.0,4.0,1373.0,0.0734,0.75
HAP,,water,Ceramic,,2.0,,2.0,1563.0,0.15,0.78
SiO2,,water,Ceramic,193.0,0.0,12.0,2.0,1573.0,0.05,0.94
Al2O3,SiC,water,Ceramic,77.0,0.0,0.0,1.0,873.0,0.55,0.075
HAP,,water,Ceramic,255.0,0.0,8.0,,823.0,0.2406,0.4919
Al2O3,,camphene,Ceramic,253.0,0.0,24.0,1.0,873.0,0.2,0.675
Al2O3,,TBA,Ceramic,,0.0,72.0,2.0,873.0,0.3,0.2
SiO2,,TBA,Ceramic,,0.0,12.0,1.0,873.0,0.13,0.65
Al2O3,,water,Ceramic,238.0,0.0,,5.0,1923.0,0.525,0.2
HAP,BaTiO3,water,Ceramic,,5.0,24.0,,873.0,0.3,0.5
chitosan,TCP,water,Ceramic/Polymer,253.0,0.0,6.0,,,0.1468,0.78
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1723.0,0.2,0.7
HAP,Al2O3,water,Ceramic,,1.0,,24.0,873.0,0.15,0.7916
YSZ,,camphene,Ceramic,,0.0,,1.0,973.0,0.15,0.77
Bioglass,,water,Ceramic,,0.0,24.0,1.5,2073.0,0.07,0.8275
Ti,,camphene,Metal,,,,2.0,1523.0,0.25,0.52
WO3,,water,Metal,243.0,0.0,,,1023.0,0.3,0.353
Al2O3,,water,Ceramic,,0.0,24.0,2.5,1823.0,0.4,0.3
Al2O3,SiO2,TBA,Ceramic,273.0,0.0,,,1773.0,0.1,0.635
HAP,,water,Ceramic,,0.5,,4.0,1573.0,0.25,0.6
Al2O3,ZrO2,TBA,Ceramic,77.0,0.0,,,1673.0,0.2,0.409
Al2O3,chitosan,acetic acid,Ceramic,,1.0,,,,0.27,0.91
Al2O3,,water,Ceramic,193.0,5.0,72.0,0.5,2323.0,0.4,0.32
ZrB2,SiC,camphene,Ceramic,233.0,0.0,0.0,1.0,873.0,0.48,0.37
YSZ,,water,Ceramic,255.0,0.0,24.0,2.0,873.0,0.3297,0.57
chitosan,HAP,water,Polymer,,0.0,0.0,,,0.09,0.517
Si3N4,Y2O3,water,Ceramic,75.0,0.0,,3.0,873.0,0.2252,0.55
Al2O3,,camphene,Ceramic,291.0,0.0,0.0,4.0,1873.0,0.508,0.4
YSZ,,water,Metal/Ceramic,,1.0,48.0,3.0,1173.0,0.2,0.642
PZT,,TBA,Ceramic,233.0,0.0,0.0,2.0,1723.0,0.3,0.49
SiC,Al2O3,water,Ceramic,263.0,0.0,24.0,2.0,673.0,0.3,0.66
SiO2,kaolinite,water,Ceramic,238.0,2.0,0.0,2.0,573.0,0.1628,0.79
HAP,SiO2,water,Ceramic,,1.0,,24.0,873.0,0.15,0.7952
gelatin,,water,Polymer,,1.0,72.0,,,0.0024,0.965
HAP,,water,Ceramic,,0.0,0.0,1.0,873.0,0.16,0.4366
Al2O3,,water,Metal/Ceramic,,1.0,48.0,2.0,1273.0,0.321,0.135
HAP,PMMA,water,Ceramic,253.0,0.0,24.0,2.0,823.0,0.2406,0.6213
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.05,0.89
Al2O3,,water,Metal/Ceramic,,1.0,48.0,2.0,1273.0,0.321,0.115
HAP,,water,Ceramic,253.0,0.0,,3.0,1623.0,0.1,0.68
Si3N4,Y2O3,water,Ceramic,203.0,0.0,48.0,2.0,873.0,0.25,0.62
HAP,,water,Ceramic,,8.0,,2.0,873.0,0.15,0.6
HAP,TCP,water,Ceramic,243.0,0.0,168.0,,,0.1091,0.46
polysiloxane,,TBA,Polymer,238.0,,48.0,4.0,1373.0,0.05,0.948
Y2O3,SiO2,TBA,Ceramic,,0.0,12.0,1.0,1053.0,0.1664,0.48
Al2O3,,camphene,Ceramic,270.0,0.0,24.0,3.0,1723.0,0.1,0.83
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.25,0.66
Al2O3,ZrO2,TBA,Ceramic,77.0,0.0,,,1773.0,0.2,0.384
Al2O3,,camphene,Ceramic,253.0,,,12.0,316.0,0.2,0.72
Ti,,water,Metal,268.0,0.0,0.0,,1273.0,0.22,0.513
Yb2SiO5,,TBA,Ceramic,,0.0,0.0,2.0,873.0,0.15,0.8215
PZT,,camphene,Ceramic,293.0,0.0,48.0,2.0,1573.0,0.1,0.82
Si3N4,Y2O3,water,Ceramic,193.0,0.0,24.0,2.0,1973.0,0.2,0.662
LSM,YSZ,water,Ceramic,,1.0,12.0,1.0,873.0,0.23,0.596
Cordierite,,water,Ceramic,223.0,0.0,24.0,2.0,1473.0,0.5,0.88
chitin,,water,Polymer,253.0,0.0,,,,0.35,0.996
Al2O3,,water,Ceramic,,10.0,48.0,,,0.27,0.902
SiO2,kaolinite,water,Ceramic,238.0,2.0,0.0,2.0,573.0,0.1628,0.78
WO3,,water,Metal,253.0,0.0,,,1023.0,0.3,0.32
HAP,,water,Ceramic/Polymer,263.0,0.0,,2.0,1773.0,0.25,0.48
Mullite,,TBA,Ceramic,173.0,0.0,12.0,2.0,1823.0,0.35,0.595
TCP,,water,Ceramic,,0.0,60.0,,723.0,0.1,0.82
HAP,(Ca10(PO4)6(OH)2),TBA,Ceramic,,0.0,0.0,1.0,963.0,0.1,0.75
Al2O3,ZrO2,TBA,Ceramic,77.0,0.0,,,1673.0,0.25,0.331
WO3,,water,Metal,253.0,0.0,,,1023.0,0.225,0.655
HAP,,camphene,Ceramic,,0.0,20.0,1.0,1493.0,0.1,0.7
Al2O3,chitosan,acetic acid,Ceramic,,10.0,,,,0.27,0.909
TiH2,,camphene,Metal,306.0,0.0,,2.0,873.0,0.25,0.49
HAP,TCP,water,Ceramic,243.0,0.0,168.0,,,0.1091,0.44
Mullite,,TBA,Ceramic,173.0,0.0,12.0,2.0,1823.0,0.25,0.72
YSZ,,water,Metal/Ceramic,,1.0,48.0,,773.0,0.36,0.248
YSZ,,water,Metal/Ceramic,,1.0,48.0,,873.0,0.36,0.242
theophylline,starch,water,Pharmaceutical,235.5,0.0,24.0,,,0.37,0.5
PU,,dioxane,Polymer,77.0,0.0,24.0,,,0.09,0.84
HAP,SiO2,water,Ceramic,,1.0,,24.0,873.0,0.15,0.7371
Mullite,,TBA,Ceramic,,0.0,0.0,2.0,1773.0,0.0659,0.85
Al2O3,,camphene,Ceramic,77.0,0.0,72.0,1.0,1773.0,0.25,0.58
ZTA,,water,Ceramic,248.0,1.5,12.0,2.0,1873.0,0.175,0.555
Bioglass,,camphene,Ceramic,,0.0,,1.0,1773.0,0.1,0.5
Al2O3,,water,Ceramic,253.0,0.0,24.0,5.0,1873.0,0.23,0.639
HAP,,water,Ceramic,255.0,0.0,8.0,,823.0,0.2406,0.601
polysiloxane,,TBA,Polymer,238.0,,48.0,4.0,1373.0,0.2,0.752
Bioglass,,camphene,Ceramic,,0.0,,1.0,1773.0,0.1,0.5
YSZ,,TBA,Ceramic,,0.0,12.0,1.0,873.0,0.03,0.67
kaolinite,,water,Ceramic,77.0,0.0,12.0,,,0.1,0.904
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.1,0.75
HAP,BT,water,Ceramic,,0.0,36.0,3.0,1373.0,0.4,0.38
Al2O3,chitosan,acetic acid,Ceramic,,1.0,,,,0.27,0.91
HAP,,water,Ceramic,,1.0,48.0,4.0,1573.0,0.2,0.751
HAP,,water,Ceramic,,0.0,,2.0,1623.0,0.25,0.78
Mullite,,TBA,Ceramic,,0.0,12.0,2.0,1973.0,0.25,0.59
HAP,,water,Ceramic,253.0,0.0,,3.0,1623.0,0.2,0.55
Al2O3,,water,Metal/Ceramic,,1.0,48.0,2.0,1873.0,0.315,0.099
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.35,0.62
Mullite,,camphene,Ceramic,,0.0,24.0,1.0,773.0,0.1131,0.8
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.25,0.64
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.05,0.855
Si3N4,Y2O3,water,Ceramic,75.0,0.0,,3.0,873.0,0.2252,0.35
HAP,SiO2,water,Ceramic,,1.0,,24.0,873.0,0.15,0.8612
Al2O3,,water,Ceramic,263.0,0.0,24.0,5.0,1873.0,0.23,0.639
YSZ,,water,Ceramic,255.0,0.0,24.0,2.0,873.0,0.3297,0.5
Merwinite,,water,Ceramic,238.15,1.0,72.0,1.0,873.0,0.1,0.4941
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.15,0.79
Si3N4,,water,Ceramic,,0.0,,2.0,873.0,0.2,0.726
TiO2,,water,Ceramic,,0.0,24.0,2.0,1573.0,0.4829,0.16
YSZ,,TBA,Ceramic,77.0,0.0,0.0,,873.0,0.15,0.728
PLLA,,DMSO,Polymer,223.0,,,,,0.08,0.869
Al2O3,,camphene,Ceramic,293.0,0.0,,,1673.0,0.1,0.8
CaSiO3,PCS,water,Ceramic,243.0,0.0,,3.0,1623.0,0.15,0.83
Mullite,,camphene,Ceramic,77.0,0.0,,,873.0,0.21,0.33
Al2O3,,water,Ceramic,193.0,10.0,72.0,0.5,2323.0,0.4,0.32
HAP,SiO2,water,Ceramic,,1.0,,24.0,873.0,0.15,0.8582
Al2O3,,water,Ceramic,193.0,1.0,72.0,0.5,893.0,0.3,0.52
YSZ,,TBA,Ceramic,,0.0,12.0,1.0,873.0,0.08,0.47
HAP,Al2O3,water,Ceramic,,4.0,,24.0,873.0,0.15,0.7838
Bioglass,,camphene,Ceramic,,0.0,,1.0,1773.0,0.1,0.5
PZT,,camphene,Ceramic,293.0,0.0,48.0,2.0,1573.0,0.2,0.6
TiO2,,water,Ceramic,,0.0,24.0,2.0,1573.0,0.1347,0.68
YSZ,,water,Ceramic,,0.0,24.0,,773.0,0.11,0.7
gelatin,,water,Polymer,,1.0,72.0,,,0.0038,0.948
TCP,,water,Ceramic,,0.0,60.0,,723.0,0.2,0.68
HAP,SiO2,water,Ceramic,,1.0,,24.0,873.0,0.15,0.797
YSZ,,water,Ceramic,,0.0,,0.5,773.0,0.3,0.69
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.35,0.54
Al2O3,,water,Ceramic,,1.0,48.0,,,0.27,0.915
HAP,(Ca10(PO4)6(OH)2),TBA,Ceramic,,0.0,0.0,1.0,963.0,0.1,0.6
Ag,,water,Metal,77.0,0.0,48.0,,,0.0001,0.959
HAP,,water,Ceramic,,0.0,,2.0,1623.0,0.25,0.88
PZT,,TBA,Ceramic,243.0,0.0,48.0,2.0,1673.0,0.25,0.55
Al2O3,,water,Ceramic,,0.0,,0.5,873.0,0.37,0.5454
HAP,,water,Ceramic,,5.0,48.0,4.0,1573.0,0.2,0.707
CaSiO3,PCS,water,Ceramic,243.0,0.0,,3.0,1623.0,0.2,0.75
Al2O3,SiC,water,Ceramic,77.0,0.0,0.0,1.0,873.0,0.55,0.055
WO3,,water,Metal,258.0,0.0,,,1023.0,0.2,0.645
YSZ,,TBA,Ceramic,,0.0,,,,0.5,0.89
TiO2,,water,Ceramic,,10.0,72.0,3.0,1623.0,0.1,0.78
Ca3ZrSi2O9,,water,Ceramic,,1.0,,1.0,873.0,0.2,0.5844
Al2O3,,water,Ceramic,,0.0,24.0,2.5,1823.0,0.4,0.25
Al2O3,,water,Ceramic,,6.0,,2.0,1523.0,0.2,0.661
Y2O3,SiO2,TBA,Ceramic,,0.0,12.0,1.0,1053.0,0.0788,0.55
PVA,,water,Polymer,77.0,0.0,,,,0.0657,0.82
TiO2,,water,Ceramic,,0.0,24.0,2.0,1573.0,0.1893,0.6
gelatin,,water,Polymer,,3.0,72.0,,,0.0075,0.99
HAP,,water,Ceramic,253.0,0.0,,3.0,1623.0,0.05,0.85
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.25,0.73
HAP,,water,Ceramic,,1.0,48.0,4.0,1573.0,0.2,0.732
Al2O3,ZrO2,water,Ceramic,,0.0,24.0,,773.0,0.5,0.19
Al2O3,chitosan,acetic acid,Ceramic,,10.0,,,,0.27,0.91
HAP,,water,Ceramic,,0.0,24.0,3.0,1523.0,0.2,0.8
Mullite,,TBA,Ceramic,,0.0,0.0,1.0,873.0,0.45,0.67
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.1,0.68
HAP,SiO2,water,Ceramic,,1.0,,24.0,873.0,0.15,0.3127
HAP,,water,Ceramic,,8.0,,2.0,1273.0,0.15,0.82
HAP,,water,Ceramic,253.0,0.0,,3.0,1648.0,0.1,0.68
HAP,,water,Ceramic,,0.0,,2.0,1623.0,0.25,0.83
HAP,,water,Ceramic,,8.0,,2.0,873.0,0.15,0.66
YSZ,,camphene,Ceramic,,0.0,,1.0,973.0,0.15,0.84
PLLA,,DMSO,Polymer,77.0,,,,,0.08,0.873
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.15,0.8
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.1,0.74
Al2O3,,water,Ceramic,223.0,0.0,24.0,,1823.0,0.4,0.458
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.15,0.8
SiO2,,TBA,Ceramic,,0.0,12.0,1.0,873.0,0.1,0.68
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.15,0.6
Al2O3,,water,Ceramic,253.0,0.0,24.0,5.0,1873.0,0.23,0.639
PZT,,TBA,Ceramic,243.0,0.0,48.0,2.0,1723.0,0.25,0.55
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.075,0.78
Yb2SiO5,,water,Ceramic,77.0,0.0,48.0,2.0,873.0,0.2,0.804
YSZ,,water,Metal/Ceramic,,1.0,48.0,3.0,1173.0,0.357,0.054
HAP,,water,Ceramic,253.0,0.0,,3.0,1623.0,0.2,0.46
TiO2,,water,Ceramic,,10.0,72.0,3.0,1273.0,0.1,0.837
Si,,water,Ceramic,,0.0,24.0,16.5,1673.0,0.2,0.7
Al2O3,,water,Metal/Ceramic,,1.0,48.0,2.0,1273.0,0.345,0.087
Yb2SiO5,,water,Ceramic,77.0,0.0,48.0,2.0,823.0,0.2,0.777
LSM,YSZ,water,Ceramic,,5.0,12.0,1.0,873.0,0.27,0.519
ZTA,,water,Ceramic,261.0,1.5,12.0,2.0,1873.0,0.175,0.65
YSZ,,camphene,Ceramic,,0.0,,1.0,973.0,0.15,0.73
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.1,0.73
YSZ,,camphene,Ceramic,288.0,0.0,24.0,1.0,973.0,0.15,0.74
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.075,0.83
Al2O3,Al2O3,water,Ceramic,,10.0,48.0,,,0.27,0.909
HAP,SiO2,water,Ceramic,,4.0,,24.0,873.0,0.15,0.8646
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1723.0,0.2,0.58
HAP,,water,Ceramic/Polymer,263.0,0.0,,2.0,1773.0,0.3,0.43
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1573.0,0.15,0.453
chitin,,water,Polymer,77.0,0.0,24.0,,,0.0053,0.986
Al2O3,,camphene,Ceramic,291.0,0.0,0.0,4.0,1873.0,0.508,0.52
Cordierite,,water,Ceramic,223.0,0.0,24.0,2.0,1473.0,0.5,0.93
HAP,,water,Ceramic,,8.0,72.0,2.0,1073.0,0.15,0.78
